rate_time,open,high,low,close,volume,readable_date
1771390800,1.35532,1.3556,1.35499,1.35538,2985,2026-02-18 05:00:00
1771387200,1.35547,1.3558,1.35527,1.35532,3361,2026-02-18 04:00:00
1771369200,1.35647,1.35699,1.3562,1.35654,1753,2026-02-17 23:00:00
1771376400,1.3563,1.35664,1.35611,1.35625,5119,2026-02-18 01:00:00
1771408800,1.3565800000000001,1.35794,1.35653,1.35746,6434,2026-02-18 10:00:00
1762527600,1.31307,1.315,1.3127499999999999,1.3149600000000001,12905,2025-11-07 15:00:00
1762531200,1.3149600000000001,1.31745,1.31452,1.31514,16044,2025-11-07 16:00:00
1762534800,1.31514,1.31708,1.31508,1.31624,10512,2025-11-07 17:00:00
1762538400,1.31624,1.31726,1.31568,1.31705,9394,2025-11-07 18:00:00
1762542000,1.31705,1.31751,1.31659,1.3168199999999999,7286,2025-11-07 19:00:00
1762545600,1.3168199999999999,1.3173,1.31567,1.31576,8880,2025-11-07 20:00:00
1762549200,1.31577,1.31651,1.31569,1.31634,7127,2025-11-07 21:00:00
1762552800,1.31635,1.31668,1.3153000000000001,1.3164500000000001,3598,2025-11-07 22:00:00
1762729200,1.31597,1.31629,1.3143099999999999,1.31545,668,2025-11-09 23:00:00
1762732800,1.3155700000000001,1.31574,1.31398,1.31414,4427,2025-11-10 00:00:00
1762736400,1.31415,1.31537,1.31366,1.31449,8738,2025-11-10 01:00:00
1762740000,1.3145,1.31552,1.3140100000000001,1.31513,9824,2025-11-10 02:00:00
1762743600,1.31513,1.31521,1.31461,1.31485,5932,2025-11-10 03:00:00
1762754400,1.31525,1.31602,1.31507,1.31554,5534,2025-11-10 06:00:00
1762761600,1.31414,1.31668,1.31413,1.3157,11746,2025-11-10 08:00:00
1762765200,1.3157,1.31847,1.31554,1.31739,11081,2025-11-10 09:00:00
1762768800,1.31739,1.31795,1.31668,1.3173300000000001,9497,2025-11-10 10:00:00
1762772400,1.3173300000000001,1.31755,1.31575,1.31602,9070,2025-11-10 11:00:00
1762776000,1.31602,1.31773,1.31521,1.3176,7858,2025-11-10 12:00:00
1762779600,1.3176,1.31879,1.31757,1.31812,7417,2025-11-10 13:00:00
1762783200,1.31812,1.31912,1.3170899999999999,1.31748,10113,2025-11-10 14:00:00
1762826400,1.3165,1.31667,1.31576,1.3165,7478,2025-11-11 02:00:00
1762830000,1.3165,1.31684,1.3161100000000001,1.31635,6185,2025-11-11 03:00:00
1762833600,1.31633,1.31703,1.3163,1.31683,8344,2025-11-11 04:00:00
1762837200,1.3168199999999999,1.31718,1.31631,1.3166,5819,2025-11-11 05:00:00
1762840800,1.31661,1.31721,1.31624,1.31662,6789,2025-11-11 06:00:00
1762844400,1.31662,1.31715,1.3152,1.31541,6225,2025-11-11 07:00:00
1762848000,1.31541,1.3158,1.31209,1.31256,12349,2025-11-11 08:00:00
1762851600,1.31257,1.31352,1.31204,1.31231,9532,2025-11-11 09:00:00
1762855200,1.3123,1.31346,1.31165,1.31295,7652,2025-11-11 10:00:00
1762858800,1.31294,1.3141,1.3121399999999999,1.31385,6953,2025-11-11 11:00:00
1762862400,1.31385,1.3152300000000001,1.31336,1.31486,6785,2025-11-11 12:00:00
1762866000,1.31486,1.31547,1.31391,1.31419,7779,2025-11-11 13:00:00
1762869600,1.31422,1.31783,1.31422,1.31714,12891,2025-11-11 14:00:00
1762873200,1.31715,1.31846,1.31606,1.31806,12239,2025-11-11 15:00:00
1762876800,1.31805,1.31809,1.31586,1.31732,13624,2025-11-11 16:00:00
1762880400,1.31732,1.31795,1.31677,1.31725,11293,2025-11-11 17:00:00
1762884000,1.31725,1.31791,1.31687,1.3174000000000001,7222,2025-11-11 18:00:00
1762887600,1.31741,1.31783,1.31717,1.31752,6933,2025-11-11 19:00:00
1762891200,1.31752,1.31753,1.31651,1.3167,7571,2025-11-11 20:00:00
1762894800,1.3167,1.31714,1.31612,1.31617,6302,2025-11-11 21:00:00
1762916400,1.31388,1.31439,1.31375,1.31382,3907,2025-11-12 03:00:00
1762920000,1.31383,1.31427,1.31353,1.314,3683,2025-11-12 04:00:00
1762923600,1.31399,1.31409,1.3128600000000001,1.31301,5037,2025-11-12 05:00:00
1762927200,1.313,1.31391,1.31287,1.31337,5455,2025-11-12 06:00:00
1771480800,1.3483800000000001,1.34878,1.3480699999999999,1.34875,3343,2026-02-19 06:00:00
1771495200,1.35059,1.3517000000000001,1.34946,1.35045,7238,2026-02-19 10:00:00
1771488000,1.34999,1.35122,1.34947,1.35103,5103,2026-02-19 08:00:00
1771498800,1.35045,1.35073,1.3485,1.34888,7445,2026-02-19 11:00:00
1771513200,1.34671,1.3467799999999999,1.3434,1.34456,14341,2026-02-19 15:00:00
1762930800,1.31337,1.3142,1.31307,1.31406,5008,2025-11-12 07:00:00
1762934400,1.31411,1.31493,1.31387,1.31457,8380,2025-11-12 08:00:00
1762938000,1.31457,1.31554,1.31167,1.3117,10159,2025-11-12 09:00:00
1762941600,1.3117,1.31314,1.31151,1.31161,10174,2025-11-12 10:00:00
1762945200,1.31161,1.31281,1.31107,1.3125499999999999,7963,2025-11-12 11:00:00
1762948800,1.31256,1.31387,1.31158,1.3137400000000001,7845,2025-11-12 12:00:00
1762952400,1.3137400000000001,1.314,1.31077,1.3118,9354,2025-11-12 13:00:00
1762956000,1.31179,1.3123,1.30958,1.31051,10593,2025-11-12 14:00:00
1771509600,1.34633,1.34695,1.3449,1.34671,10146,2026-02-19 14:00:00
1771484400,1.34876,1.3502399999999999,1.34851,1.34999,4262,2026-02-19 07:00:00
1762959600,1.31051,1.31078,1.3084500000000001,1.30989,11589,2025-11-12 15:00:00
1762963200,1.30988,1.31327,1.30976,1.3130600000000001,12486,2025-11-12 16:00:00
1768374000,1.34357,1.34482,1.34345,1.3447,5402,2026-01-14 07:00:00
1768377600,1.3447,1.34496,1.34374,1.34396,6197,2026-01-14 08:00:00
1771502400,1.34888,1.3492,1.34656,1.34662,6924,2026-02-19 12:00:00
1771506000,1.34662,1.34744,1.34571,1.34633,6414,2026-02-19 13:00:00
1771477200,1.3491,1.34927,1.34817,1.34839,3644,2026-02-19 05:00:00
1768381200,1.34395,1.3450199999999999,1.34371,1.3449900000000001,10968,2026-01-14 09:00:00
1768384800,1.3449900000000001,1.3458999999999999,1.3446799999999999,1.3457,8448,2026-01-14 10:00:00
1768388400,1.3457,1.34589,1.34505,1.34539,9268,2026-01-14 11:00:00
1768392000,1.34538,1.3454,1.34455,1.34493,7259,2026-01-14 12:00:00
1768395600,1.34494,1.34586,1.34423,1.34522,8701,2026-01-14 13:00:00
1768399200,1.34522,1.34528,1.34387,1.34448,10013,2026-01-14 14:00:00
1768402800,1.34449,1.34643,1.34436,1.34567,14398,2026-01-14 15:00:00
1768406400,1.34569,1.34619,1.34439,1.34561,14861,2026-01-14 16:00:00
1768410000,1.3456000000000001,1.34585,1.34406,1.34437,9886,2026-01-14 17:00:00
1768413600,1.34437,1.34451,1.34302,1.3431899999999999,7979,2026-01-14 18:00:00
1768417200,1.3431899999999999,1.3433,1.34267,1.34269,6208,2026-01-14 19:00:00
1768420800,1.34269,1.3433,1.34247,1.3430900000000001,5140,2026-01-14 20:00:00
1768424400,1.3430900000000001,1.3441,1.34299,1.34327,7975,2026-01-14 21:00:00
1768428000,1.34328,1.34473,1.34322,1.3447200000000001,3991,2026-01-14 22:00:00
1768431600,1.3443,1.34464,1.34389,1.3439999999999999,2457,2026-01-14 23:00:00
1768435200,1.34424,1.34448,1.34389,1.34401,1734,2026-01-15 00:00:00
1768438800,1.34402,1.34402,1.3430900000000001,1.3437299999999999,5107,2026-01-15 01:00:00
1768442400,1.34374,1.34388,1.34274,1.34354,9695,2026-01-15 02:00:00
1768446000,1.34348,1.34348,1.34294,1.34331,7024,2026-01-15 03:00:00
1768453200,1.34276,1.34289,1.34234,1.3424,4070,2026-01-15 05:00:00
1768456800,1.34239,1.34321,1.34232,1.34274,6121,2026-01-15 06:00:00
1768460400,1.34274,1.3433,1.34236,1.34273,6830,2026-01-15 07:00:00
1768464000,1.34276,1.34433,1.34238,1.34347,8765,2026-01-15 08:00:00
1771516800,1.34454,1.34741,1.34414,1.34543,16184,2026-02-19 16:00:00
1771282800,1.36325,1.36347,1.3628,1.36311,958,2026-02-16 23:00:00
1763571600,1.30797,1.3085499999999999,1.30675,1.30753,11627,2025-11-19 17:00:00
